,id,page_name,status,header,dynamicPage,itemResultsCount,searchCount,primary_url,secondary_url,note,error_status,error_response
96,1507132,buy:aquanaut,scheduled,Aquanaut,,,,/search/jewelry/?buyPageVariant1=true&q=aquanaut,nan,Dynamic buy pages endpoint,ERROR,"{""error"": {""type"": ""SearchTermError"", ""message"": ""The normalized search term is too short, it must contain two or more words."", ""searchTermData"": {""original"": ""aquanaut"", ""normalized"": ""aquanaut"", ""latinised"": ""aquanaut""}}}"
97,1507902,buy:behapi,scheduled,Behapi,,,,/search/fashion/?buyPageVariant1=true&q=behapi,nan,Dynamic buy pages endpoint,ERROR,"{""error"": {""type"": ""SearchTermError"", ""message"": ""The normalized search term is too short, it must contain two or more words."", ""searchTermData"": {""original"": ""behapi"", ""normalized"": ""behapi"", ""latinised"": ""behapi""}}}"
98,1474622,buy:the-cloud-sofas,live,The Cloud Sofas,,,,/search/?q=the%20cloud%20sofa,nan,Generated using custom generation script,ERROR,"{""error"": {""type"": ""ZeroResultsError"", ""message"": ""There are no items for provided search term.""}}"
99,1453632,buy:sheila-hicks,live,Sheila Hicks,,,,/search/furniture/?buyPageVariant1=true&q=sheila+hicks,/furniture/,Generated using custom generation script,SUCCESS,
100,1506112,buy:audrey-hepburn,scheduled,Audrey Hepburn,,,,/search/art/?buyPageVariant1=true&q=audrey+hepburn,/art/,Dynamic buy pages endpoint: Found probable duplicates! http://internal-mario-buyer-services-1695447112.us-east-1.elb.amazonaws.com/soa/query-builder/1/dynamicBuyPage?searchTerm=audrey%20hepburn,SUCCESS,
101,1508162,buy:haberdashery-counter,scheduled,Haberdashery Counter,,,,/search/furniture/?buyPageVariant1=true&q=haberdashery+counter,/furniture/,Dynamic buy pages endpoint,SUCCESS,
102,1454402,buy:zodiac-pendants,live,Zodiac Pendants,,,,/search/?buyPageVariant1=true&q=zodiac+pendants,/jewelry/necklaces/pendant-necklaces/,Generated using custom generation script,SUCCESS,
103,1455682,buy:gabriella-kiss,live,Gabriella Kiss,,,,/search/?q=gabriella%20kiss,nan,Generated using custom generation script,ERROR,"{""error"": {""type"": ""ZeroResultsError"", ""message"": ""There are no items for provided search term.""}}"
104,1452612,buy:roman-coins,live,Roman Coins,,,,/search/?buyPageVariant1=true&q=roman+coins,/jewelry/style/classical-roman/?creator=roberto-coin,Generated using custom generation script,SUCCESS,
105,1453892,buy:ethiopian-cross,live,Ethiopian Cross,,,,/search/?buyPageVariant1=true&q=ethiopian+cross,/furniture/origin/ethiopian/,Generated using custom generation script,SUCCESS,
106,1475652,buy:wooden-fox-heads,live,Wooden Fox Heads,,,,/search/?q=wooden%20fox%20head,nan,Generated using custom generation script,ERROR,"{""error"": {""type"": ""ZeroResultsError"", ""message"": ""There are no items for provided search term.""}}"
107,1506372,buy:horse-head-sculpture,scheduled,Horse Head Sculpture/,,,,/search/?buyPageVariant1=true&q=horse+head+sculpture,/furniture/decorative-objects/sculptures/,Dynamic buy pages endpoint,SUCCESS,
108,1513542,buy:pierre-golle,scheduled,Pierre Golle,,,,/search/furniture/?buyPageVariant1=true&q=pierre+golle,/furniture/,Dynamic buy pages endpoint,SUCCESS,
109,1514822,buy:gmt-master,scheduled,Gmt Master,,,,/search/?buyPageVariant1=true&q=gmt+master,/jewelry/watches/,Dynamic buy pages endpoint: Found probable duplicates! http://internal-luigi-buyer-services-705204976.us-east-1.elb.amazonaws.com/soa/query-builder/1/dynamicBuyPage?searchTerm=gmt%20master,SUCCESS,
110,1472582,buy:clothes-hangers,live,Clothes Hangers,,,,/search/?buyPageVariant1=true&q=clothes+hangers,/furniture/more-furniture-collectibles/,Generated using custom generation script,SUCCESS,
111,1507142,buy:cloud-chair,scheduled,Cloud Chair/,,,,/search/furniture/?buyPageVariant1=true&q=cloud+chair,/furniture/seating/chairs/,Dynamic buy pages endpoint,SUCCESS,
112,1454152,buy:bed-crowns,live,Bed Crowns,,,,/search/furniture/?buyPageVariant1=true&q=bed+crowns,/furniture/more-furniture-collectibles/bedroom-furniture/bed-coronas/,Generated using custom generation script,SUCCESS,
113,1455432,buy:rock-posters,live,Rock Posters,,,,/search/?buyPageVariant1=true&q=rock+posters,/furniture/wall-decorations/posters/,Generated using custom generation script,SUCCESS,
114,1474632,buy:the-joe-baseball-chairs,live,The Joe Baseball Chairs,,,,/search/?q=the%20joe%20baseball%20chair,nan,Generated using custom generation script,ERROR,"{""error"": {""type"": ""ZeroResultsError"", ""message"": ""There are no items for provided search term.""}}"
115,1479752,buy:gateleg-table,ended,,,,,/search/furniture/?buyPageVariant1=true&q=gateleg+table,/furniture/tables/,Soft-delete page,SUCCESS,
116,1474122,buy:smokey-quartz-rings,live,Smokey Quartz Rings,,,,/search/?buyPageVariant1=true&q=smokey+quartz+rings,/jewelry/rings/stone/quartz/,Generated using custom generation script,SUCCESS,
117,1508172,buy:drgm,scheduled,Drgm,,,,/search/?buyPageVariant1=true&q=drgm,nan,Dynamic buy pages endpoint,ERROR,"{""error"": {""type"": ""SearchTermError"", ""message"": ""The normalized search term is too short, it must contain two or more words."", ""searchTermData"": {""original"": ""drgm"", ""normalized"": ""drgm"", ""latinised"": ""drgm""}}}"
118,1455692,buy:harold-studios,live,Harold Studios,,,,/search/furniture/?buyPageVariant1=true&q=harold+studios,/furniture/,Generated using custom generation script,SUCCESS,
119,1469772,buy:jules-rene-herve,live,Jules Rene Herve,,,,/search/?buyPageVariant1=true&q=jules+rene+herve,/art/,Generated using custom generation script,SUCCESS,
120,1473612,buy:metal-wall-sculptures,live,Metal Wall Sculptures,,,,/search/?q=metal%20wall%20sculpture&buyPageVariant1=true,nan,Generated using custom generation script,ERROR,"{""error"": {""type"": ""StructuredBrowsePagesError"", ""message"": ""Only structured browse pages found for provided search term."", ""uriRef"": ""/furniture/wall-decorations/wall-mounted-sculptures/material/metal/""}}"
121,1507662,buy:burgundy-chair,scheduled,Burgundy Chair/,,,,/search/furniture/?buyPageVariant1=true&q=burgundy+chair,/furniture/seating/chairs/,Dynamic buy pages endpoint,SUCCESS,
122,1455182,buy:mardi-gras,live,Mardi Gras,,,,/search/?buyPageVariant1=true&q=mardi+gras,/art/,Generated using custom generation script,SUCCESS,
